designation;nro;bprp;gabs;mass(Msun);prob
Gaia EDR3 1000299395067039488;1;0,9540062;14,56320285;0,535966265;0,900120497
Gaia EDR3 1000471502997099520;2;0,759058;14,01408999;0,586004407;0,487826884
Gaia EDR3 1000654988295741056;3;0,7463379;14,27270819;0,633992521;0,540994167
Gaia EDR3 1000750680166939008;4;0,93888855;14,67204252;0,589374516;0,854771912
Gaia EDR3 1001351318458520960;5;0,67736816;14,11833314;0,652055466;0,543574512
Gaia EDR3 1002501171397938432;6;0,41690254;13,6226283;0,766090722;0,672314763
Gaia EDR3 1004109340296754944;7;0,1502037;12,20573502;0,57190967;0,877763391
Gaia EDR3 100445163201292800;8;0,70765877;14,04467709;0,586945337;0,537213743
Gaia EDR3 1005056535204966144;9;1,1021996;15,04161506;0,584775377;0,924352884
Gaia EDR3 1005909000316328192;10;0,55233955;14,06357404;0,822882955;0,479578853
Gaia EDR3 1006362377061156352;11;0,26229668;13,56085082;0,941265223;0,550475001
Gaia EDR3 1007300574013875584;12;0,5564823;13,52317617;0,558459542;0,515208244
Gaia EDR3 1007682723024253184;13;1,2068005;15,09200422;0,505106393;0,983438909
Gaia EDR3 1007776417733158400;14;1,2119541;14,67817506;0,373222913;0,968131542
Gaia EDR3 1008714030571152128;15;-0,20496082;11,01019115;0,569713877;0,934030175
Gaia EDR3 1009518284670371840;16;0,22368622;13,12987418;0,833187408;0,661044836
Gaia EDR3 1010300965150157824;17;1,182003;15,19229251;0,562440071;0,956894517
Gaia EDR3 1011466005095102464;18;1,014267;14,76097885;0,562162304;0,882909894
Gaia EDR3 1011870071322756096;19;0,5127487;13,97903523;0,790545642;0,511612654
Gaia EDR3 1012210992942502144;20;1,3778267;14,7522634;0,252863203;0,964434624
Gaia EDR3 1012271221268203136;21;1,5952473;15,63398737;0;0,987294078
Gaia EDR3 1014142383899931392;22;0,93234444;14,67245914;0,595377937;0,827942729
Gaia EDR3 1014548520302641536;23;0,32047653;12,48813008;0,482711625;0,624539554
Gaia EDR3 1014793672740325248;24;0,3661213;13,56047366;0,806526349;0,576323986
Gaia EDR3 1015799828959492352;25;0,9954834;14,74961774;0,572578653;0,896579385
Gaia EDR3 1016617865610081152;26;0,34531593;13,64080636;0,86383354;0,605624735
